Start Eff Date,End Eff Date,Cost,Cnty,State,City,Zip,Svc,Mat,SCode,Mkt,Qty,Cnt per wk,Equip,Size Code,Yd Size,Covid
4/1/2020,1/31/2021,179.88,Kings,NY,BROOKLYN,11231,PCK,T,NULL,Open,1,1,DMP,YRDS-2,2,Pre
1/1/2021,5/31/2021,135.33,Polk,FL,LAKELAND,33810,PCK,T,NULL,Open,1,1,DMP,YRDS-2,2,Post
10/5/2018,3/31/2021,56,Nassau,FL,FERNANDINA BEACH,32034,PCK,T,NULL,Open,1,1,DMP,YRDS-2,2,Pre
8/1/2019,3/31/2021,40.05,Clay,FL,MIDDLEBURG,32068,PCK,T,NULL,Open,1,1,DMP,YRDS-2,2,Pre
8/1/2019,3/31/2021,40.05,Clay,FL,FLEMING ISLAND,32003,PCK,T,NULL,Open,1,1,DMP,YRDS-2,2,Pre
9/4/2020,9/30/2021,95.25,Carteret,NC,HARKERS ISLAND,28531,PCK,T,NULL,Open,1,1,DMP,YRDS-2,2,Post
9/1/2020,9/30/2021,80.9,Nash,NC,ROCKY MOUNT,27804,PCK,T,NULL,Open,1,1,DMP,YRDS-2,2,Post
1/1/2021,4/30/2021,36,Santa Rosa,FL,MILTON,32570,PCK,T,NULL,Open,1,1,DMP,YRDS-2,2,Post
1/1/2021,4/30/2021,36,Santa Rosa,FL,NAVARRE,32566,PCK,T,NULL,Open,1,1,DMP,YRDS-2,2,Post
11/1/2020,5/31/2021,43.26,Portage,WI,STEVENS POINT,54482,PCK,T,NULL,Open,1,1,DMP,YRDS-2,2,Post
11/1/2020,5/31/2021,30.71,Marathon,WI,WAUSAU,54401,PCK,T,NULL,Open,1,1,DMP,YRDS-2,2,Post
11/1/2020,5/31/2021,43.67,Oneida,WI,RHINELANDER,54501,PCK,T,NULL,Open,1,1,DMP,YRDS-2,2,Post
11/1/2020,5/31/2021,36.26,Langlade,WI,ANTIGO,54409,PCK,T,NULL,Open,1,1,DMP,YRDS-2,2,Post
11/1/2020,5/31/2021,115.89,Duval,FL,JACKSONVILLE,32258,PCK,T,NULL,Open,1,1,DMP,YRDS-6,6,Post
